,title,company,location,Link
1805,Senior Data Scientist - Machine Learning,Confidencial,"San Isidro, Lima",https://www.bumeran.com.pe/empleos/senior-data-scientist-machine-learning-1115997131.html
1828,Analista de Base de Datos,NEORIS PERU,"San Isidro, Lima",https://www.bumeran.com.pe/empleos/analista-de-base-de-datos-neoris-peru-1115953469.html
1874,Analista Jr. de Data Analytics,ALFIN BANCO,"Surco, Lima",https://www.bumeran.com.pe/empleos/analista-jr.-de-data-analytics-alfin-banco-1115998951.html
1897,Practicante profesional – Analista de Datos,SODEXO PERU,"Lima, Lima",https://www.bumeran.com.pe/empleos/practicante-profesional--analista-de-datos-sodexo-peru-1115953531.html
1949,ANALISTA DE EXPLOTACIÓN DE DATOS,GLOBAL HITSS,"Lima, Lima",https://www.bumeran.com.pe/empleos/analista-de-explotacion-de-datos-global-hitss-1115964811.html
1981,Jefe de Analítica de Datos,Redondos S.A.,"San Isidro, Lima",https://www.bumeran.com.pe/empleos/jefe-de-analitica-de-datos-redondos-s.a.-1115970034.html
2004,Analista Comercial de Data & Insights,RCS Capital Humano,"San Isidro, Lima",https://www.bumeran.com.pe/empleos/analista-comercial-de-data-insights-rcs-capital-humano-1115989546.html
2027,Coordinador de Analítica de Datos,Redondos S.A.,"San Isidro, Lima",https://www.bumeran.com.pe/empleos/coordinador-de-analitica-de-datos-redondos-s.a.-1115970237.html
2050,Especialista de Base de Datos,BUILDING SOFTWARE,"Miraflores, Lima",https://www.bumeran.com.pe/empleos/especialista-de-base-de-datos-building-software-1115831723.html
2074,Analista de Datos de Auditoría,Grupo Silvestre S.A.,"Lima, Lima",https://www.bumeran.com.pe/empleos/analista-de-datos-de-auditoria-grupo-silvestre-s.a.-1115970394.html
2098,Analista de Procesos y Datos,CITIKOLD DEL PERU,"Magdalena del Mar, Lima",https://www.bumeran.com.pe/empleos/analista-de-procesos-y-datos-citikold-del-peru-1115957413.html
2145,Analista de Datos de Auditoría,Grupo Silvestre S.A.,"Lima, Lima",https://www.bumeran.com.pe/empleos/analista-de-datos-de-auditoria-grupo-silvestre-s.a.-1115996984.html
2167,Analista Base de Datos - Oracle,Zoluxiones SAC,"Surquillo, Lima",https://www.bumeran.com.pe/empleos/analista-base-de-datos-oracle-zoluxiones-sac-1115986250.html
2193,Data Engineer - Banca y finanzas,NEORIS PERU,"Lima, Lima",https://www.bumeran.com.pe/empleos/data-engineer-banca-y-finanzas-neoris-peru-1115681700.html
2217,Data Engineer Semi Senior - Azure,Bluetab Solutions,Perú,https://www.bumeran.com.pe/empleos/data-engineer-semi-senior-azure-bluetab-solutions-1115359155.html
2243,Operador de Centro de Datos,Win Empresas,"Santiago de Surco, Lima",https://www.bumeran.com.pe/empleos/operador-de-centro-de-datos-win-empresas-1115965924.html
2265,ANALISTA DE REPORTES/DATOS - JUNIOR,Grupo Fractalia,"Surquillo, Lima",https://www.bumeran.com.pe/empleos/analista-de-reportes-datos-junior-grupo-fractalia-1115985288.html
2411,Analista de datos - PL/SQL,Inetum Perú,"Miraflores, Lima",https://www.bumeran.com.pe/empleos/analista-de-datos-pl-sql-inetum-peru-1115969894.html
